user_id,product1,product2,onemsiz1,onemsiz2,onemsiz3
1,10258,196,1.0,0.8888888888888888,1.0
1,196,10258,0.8888888888888888,0.8888888888888888,1.0
1,12427,196,1.0,1.0,1.0
1,196,12427,1.0,1.0,1.0
1,25133,196,1.0,0.7777777777777778,1.0
1,196,25133,0.7777777777777778,0.7777777777777778,1.0
1,12427,10258,0.8888888888888888,0.8888888888888888,1.0
1,10258,12427,1.0,0.8888888888888888,1.0
1,25133,12427,1.0,0.7777777777777778,1.0
1,12427,25133,0.7777777777777778,0.7777777777777778,1.0
1,25133,10258,1.0,0.7777777777777778,1.125
1,10258,25133,0.875,0.7777777777777778,1.125
5,8518,11777,1.0,0.5,1.0
5,8518,26604,1.0,0.5,1.0
5,13988,11777,1.0,0.5,1.0
5,21413,11777,1.0,0.5,1.0
5,24535,11777,1.0,0.75,1.0
5,11777,24535,0.75,0.75,1.0
5,26604,11777,1.0,1.0,1.0
5,11777,26604,1.0,1.0,1.0
5,40706,11777,1.0,0.5,1.0
5,43693,11777,1.0,0.75,1.0
5,11777,43693,0.75,0.75,1.0
5,13988,26604,1.0,0.5,1.0
5,21413,26604,1.0,0.5,1.0
5,26604,24535,0.75,0.75,1.0
5,24535,26604,1.0,0.75,1.0
5,40706,26604,1.0,0.5,1.0
5,43693,26604,1.0,0.75,1.0
5,26604,43693,0.75,0.75,1.0
5,8518,24535,1.0,0.5,1.3333333333333333
5,8518,43693,1.0,0.5,1.3333333333333333
5,13988,24535,1.0,0.5,1.3333333333333333
5,13988,43693,1.0,0.5,1.3333333333333333
5,21413,24535,1.0,0.5,1.3333333333333333
5,21413,43693,1.0,0.5,1.3333333333333333
5,43693,24535,1.0,0.75,1.3333333333333333
5,24535,43693,1.0,0.75,1.3333333333333333
5,21413,8518,1.0,0.5,2.0
5,8518,21413,1.0,0.5,2.0
7,37602,17638,0.75,0.45,1.3636363636363635
7,17638,37602,0.8181818181818182,0.45,1.3636363636363635
7,40852,17638,0.7692307692307693,0.5,1.3986013986013988
7,17638,40852,0.9090909090909091,0.5,1.3986013986013988
7,40852,37602,0.8461538461538461,0.55,1.4102564102564104
7,37602,40852,0.9166666666666666,0.55,1.4102564102564104
10,28535,16797,0.75,0.6,0.9375
10,16797,28535,0.75,0.6,0.9375
10,30489,16797,0.75,0.6,0.9375
10,16797,30489,0.75,0.6,0.9375
10,46979,16797,0.75,0.6,0.9375
10,16797,46979,0.75,0.6,0.9375
10,47526,16797,0.75,0.6,0.9375
10,16797,47526,0.75,0.6,0.9375
10,46979,28535,0.75,0.6,0.9375
10,28535,46979,0.75,0.6,0.9375
10,46979,30489,0.75,0.6,0.9375
10,30489,46979,0.75,0.6,0.9375
10,47526,46979,0.75,0.6,0.9375
10,46979,47526,0.75,0.6,0.9375
10,28535,1529,0.75,0.6,1.25
10,1529,28535,1.0,0.6,1.25
10,30489,1529,0.75,0.6,1.25
10,1529,30489,1.0,0.6,1.25
10,46979,1529,0.75,0.6,1.25
10,1529,46979,1.0,0.6,1.25
10,47526,1529,0.75,0.6,1.25
10,1529,47526,1.0,0.6,1.25
10,28535,9339,0.75,0.6,1.25
10,9339,28535,1.0,0.6,1.25
10,30489,9339,0.75,0.6,1.25
10,9339,30489,1.0,0.6,1.25
10,46979,9339,0.75,0.6,1.25
10,9339,46979,1.0,0.6,1.25
10,47526,9339,0.75,0.6,1.25
10,9339,47526,1.0,0.6,1.25
10,28842,16797,1.0,0.6,1.25
10,16797,28842,0.75,0.6,1.25
10,40706,16797,1.0,0.6,1.25
10,16797,40706,0.75,0.6,1.25
