order_id	user_id	order_number	days_since_prior_order	product_id	reordered
2539329	1	1	0	196	0
2539329	1	1	0	14084	0
2539329	1	1	0	12427	0
2539329	1	1	0	26088	0
2539329	1	1	0	26405	0
2398795	1	2	15	196	1
2398795	1	2	15	10258	0
2398795	1	2	15	12427	1
2398795	1	2	15	13176	0
2398795	1	2	15	26088	1
2398795	1	2	15	13032	0
473747	1	3	21	196	1
473747	1	3	21	12427	1
473747	1	3	21	10258	1
473747	1	3	21	25133	0
473747	1	3	21	30450	0
2254736	1	4	29	196	1
2254736	1	4	29	12427	1
2254736	1	4	29	10258	1
2254736	1	4	29	25133	1
2254736	1	4	29	26405	1
431534	1	5	28	196	1
431534	1	5	28	12427	1
431534	1	5	28	10258	1
431534	1	5	28	25133	1
431534	1	5	28	10326	0
431534	1	5	28	17122	0
431534	1	5	28	41787	0
431534	1	5	28	13176	1
3367565	1	6	19	196	1
3367565	1	6	19	12427	1
3367565	1	6	19	10258	1
3367565	1	6	19	25133	1
550135	1	7	20	196	1
550135	1	7	20	10258	1
550135	1	7	20	12427	1
550135	1	7	20	25133	1
550135	1	7	20	13032	1
3108588	1	8	14	12427	1
3108588	1	8	14	196	1
3108588	1	8	14	10258	1
3108588	1	8	14	25133	1
3108588	1	8	14	46149	0
3108588	1	8	14	49235	0
2295261	1	8	0	49235	1
2295261	1	8	0	46149	1
2295261	1	8	0	25133	1
2295261	1	8	0	196	1
2295261	1	8	0	10258	1
2295261	1	8	0	12427	1
2550362	1	9	30	196	1
2550362	1	9	30	46149	1
2550362	1	9	30	39657	0
2550362	1	9	30	38928	0
2550362	1	9	30	25133	1
2550362	1	9	30	10258	1
2550362	1	9	30	35951	0
2550362	1	9	30	13032	1
2550362	1	9	30	12427	1
2168274	2	1	0	32792	0
2168274	2	1	0	47766	0
2168274	2	1	0	20574	0
2168274	2	1	0	12000	0
2168274	2	1	0	48110	0
2168274	2	1	0	22474	0
2168274	2	1	0	16589	0
2168274	2	1	0	35917	0
2168274	2	1	0	27344	0
2168274	2	1	0	30489	0
2168274	2	1	0	27966	0
2168274	2	1	0	13176	0
2168274	2	1	0	45066	0
1501582	2	2	10	16797	0
1501582	2	2	10	47526	0
1501582	2	2	10	8479	0
1501582	2	2	10	47766	1
1501582	2	2	10	19051	0
1501582	2	2	10	8138	0
1901567	2	3	3	47766	1
1901567	2	3	3	32792	1
1901567	2	3	3	20574	1
1901567	2	3	3	7781	0
1901567	2	3	3	28874	0
738281	2	4	8	49451	0
738281	2	4	8	32792	1
738281	2	4	8	32139	0
738281	2	4	8	34688	0
738281	2	4	8	36735	0
738281	2	4	8	37646	0
738281	2	4	8	22829	0
738281	2	4	8	24852	0
738281	2	4	8	47209	0
738281	2	4	8	33276	0
738281	2	4	8	45613	0
738281	2	4	8	9681	0
738281	2	4	8	21150	0
1673511	2	5	8	47144	0
1673511	2	5	8	5322	0
1673511	2	5	8	17224	0
1673511	2	5	8	38656	0
1673511	2	5	8	21376	0
1673511	2	5	8	48210	0
1673511	2	5	8	5907	0
1673511	2	5	8	14553	0
1673511	2	5	8	47553	0
1673511	2	5	8	22124	0
1673511	2	5	8	19156	0
1673511	2	5	8	1559	0
1673511	2	5	8	47766	1
1199898	2	6	13	32792	1
1199898	2	6	13	12000	1
1199898	2	6	13	9681	1
1199898	2	6	13	32139	1
1199898	2	6	13	32052	0
1199898	2	6	13	27344	1
1199898	2	6	13	24852	1
1199898	2	6	13	45066	1
1199898	2	6	13	27966	1
1199898	2	6	13	47209	1
1199898	2	6	13	36735	1
1199898	2	6	13	46676	0
1199898	2	6	13	33754	0
1199898	2	6	13	17872	0
1199898	2	6	13	18523	0
1199898	2	6	13	24954	0
1199898	2	6	13	4957	0
1199898	2	6	13	40571	0
1199898	2	6	13	41787	0
1199898	2	6	13	19051	1
1199898	2	6	13	33276	1
3194192	2	7	14	32792	1
3194192	2	7	14	12000	1
3194192	2	7	14	16589	1
3194192	2	7	14	32052	1
3194192	2	7	14	19051	1
3194192	2	7	14	32139	1
3194192	2	7	14	47209	1
3194192	2	7	14	24852	1
3194192	2	7	14	46886	0
3194192	2	7	14	40198	0
3194192	2	7	14	17758	0
3194192	2	7	14	45066	1
3194192	2	7	14	41787	1
3194192	2	7	14	34688	1
788338	2	8	27	32792	1
788338	2	8	27	28918	0
788338	2	8	27	24852	1
788338	2	8	27	34688	1
788338	2	8	27	48110	1
788338	2	8	27	47209	1
788338	2	8	27	32052	1
788338	2	8	27	17758	1
788338	2	8	27	40198	1
788338	2	8	27	46886	1
788338	2	8	27	22963	0
788338	2	8	27	23	0
788338	2	8	27	20084	0
788338	2	8	27	2002	0
788338	2	8	27	5212	0
788338	2	8	27	14306	0
1718559	2	9	8	32792	1
1718559	2	9	8	24852	1
1718559	2	9	8	12000	1
1718559	2	9	8	21376	1
1718559	2	9	8	2002	1
1718559	2	9	8	7781	1
1718559	2	9	8	13742	0
1718559	2	9	8	18961	0
1718559	2	9	8	15841	0
1718559	2	9	8	33754	1
1718559	2	9	8	22124	1
1718559	2	9	8	19156	1
1718559	2	9	8	1559	1
1718559	2	9	8	13351	0
1718559	2	9	8	18523	1
1718559	2	9	8	17872	1
1718559	2	9	8	5450	0
1718559	2	9	8	22474	1
1718559	2	9	8	48099	0
1718559	2	9	8	49273	0
1718559	2	9	8	47792	0
1718559	2	9	8	45613	1
1718559	2	9	8	9124	0
1718559	2	9	8	22559	0
1718559	2	9	8	33957	0
1718559	2	9	8	27737	0
1447487	2	10	6	24852	1
1447487	2	10	6	12000	1
1447487	2	10	6	47209	1
1447487	2	10	6	17872	1
1447487	2	10	6	18523	1
1447487	2	10	6	1559	1
1447487	2	10	6	19156	1
1447487	2	10	6	2002	1
1447487	2	10	6	2573	0
1402090	2	11	30	32792	1
1402090	2	11	30	4071	0
1402090	2	11	30	19051	1
1402090	2	11	30	19156	1
1402090	2	11	30	18523	1
1402090	2	11	30	1559	1
1402090	2	11	30	22124	1
1402090	2	11	30	33754	1
1402090	2	11	30	22474	1
1402090	2	11	30	16589	1
1402090	2	11	30	32139	1
1402090	2	11	30	8296	0
1402090	2	11	30	47209	1
1402090	2	11	30	2002	1
1402090	2	11	30	21227	0
3186735	2	12	28	32792	1
3186735	2	12	28	47209	1
3186735	2	12	28	22124	1
3186735	2	12	28	19156	1
3186735	2	12	28	1559	1
3186735	2	12	28	13351	1
3186735	2	12	28	3151	0
3186735	2	12	28	19240	0
3186735	2	12	28	21709	0
3186735	2	12	28	10305	0
3186735	2	12	28	24990	0
3186735	2	12	28	18523	1
3186735	2	12	28	36735	1
3186735	2	12	28	22963	1
3186735	2	12	28	33754	1
3186735	2	12	28	16589	1
3186735	2	12	28	36287	0
3186735	2	12	28	42356	0
3186735	2	12	28	12258	0
3268552	2	13	30	42342	0
3268552	2	13	30	30908	0
3268552	2	13	30	79	0
3268552	2	13	30	5869	0
3268552	2	13	30	44303	0
3268552	2	13	30	16521	0
3268552	2	13	30	39877	0
3268552	2	13	30	19057	0
3268552	2	13	30	45948	0
839880	2	14	13	24852	1
839880	2	14	13	16589	1
839880	2	14	13	1559	1
839880	2	14	13	19156	1
839880	2	14	13	18523	1
839880	2	14	13	22825	0
839880	2	14	13	27413	0
839880	2	14	13	33754	1
839880	2	14	13	21709	1
839880	2	14	13	47209	1
839880	2	14	13	7781	1
839880	2	14	13	2573	1
839880	2	14	13	39928	0
839880	2	14	13	20785	0
839880	2	14	13	24768	0
839880	2	14	13	7963	0
2717275	5	1	0	15349	0
2717275	5	1	0	21413	0
2717275	5	1	0	48775	0
